iter	Passed	Remaining
412	3039	4320
413	3046	4312
414	3049	4298
415	3052	4284
416	3054	4270
417	3059	4260
418	3062	4246
419	3064	4232
420	3067	4218
421	3069	4204
422	3075	4195
423	3078	4182
424	3081	4168
425	3083	4155
426	3086	4141
427	3093	4134
428	3096	4121
429	3098	4107
430	3101	4093
431	3110	4089
432	3113	4077
433	3117	4065
434	3128	4063
435	3145	4069
436	3153	4062
437	3156	4050
438	3158	4036
439	3161	4023
440	3164	4010
441	3170	4003
442	3173	3990
443	3176	3977
444	3190	3978
445	3198	3973
446	3202	3962
447	3210	3955
448	3218	3950
449	3223	3939
450	3226	3927
451	3230	3916
452	3234	3905
453	3237	3893
454	3241	3883
455	3246	3873
456	3256	3868
457	3259	3857
458	3263	3846
459	3299	3873
460	3308	3868
461	3321	3868
462	3336	3869
463	3341	3860
464	3348	3852
465	3365	3856
466	3385	3863
467	3394	3858
468	3433	3887
469	3461	3903
470	3465	3892
471	3480	3893
472	3489	3887
473	3525	3912
474	3530	3902
475	3538	3894
476	3546	3888
477	3550	3877
478	3556	3868
479	3564	3861
480	3582	3865
481	3588	3856
482	3596	3849
483	3614	3853
484	3630	3854
485	3641	3851
486	3659	3855
487	3672	3853
488	3686	3852
489	3692	3842
490	3706	3842
491	3717	3838
492	3724	3830
493	3737	3828
494	3748	3824
495	3758	3818
496	3763	3808
497	3793	3824
498	3810	3825
499	3822	3822
500	3845	3829
501	3871	3840
502	3894	3848
503	3904	3842
504	3938	3860
505	3951	3858
506	3958	3848
507	3966	3841
508	3974	3833
509	3983	3827
510	4001	3828
511	4007	3819
512	4051	3846
513	4065	3844
514	4077	3840
515	4091	3837
516	4098	3828
517	4113	3827
518	4128	3826
519	4132	3814
520	4137	3804
521	4149	3799
522	4186	3818
523	4195	3811
524	4202	3802
525	4213	3796
526	4218	3786
527	4249	3799
528	4262	3794
529	4266	3783
530	4281	3781
531	4293	3776
532	4323	3787
533	4330	3778
534	4347	3778
